date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here,realized_net_to_date
2022-01-17,BANKNIFTY,LONG,2022-01-17 10:00:00+05:30,38335.12,2022-01-17 11:30:00+05:30,38297.15,EARLY_EXIT,30,-37.97,-1139.1,20.0,574.46,42.07,2.3,23.0,11.17,673.0,-1812.1,200000.0,198187.9,0.0,False,-1812.1
2022-02-03,BANKNIFTY,LONG,2022-02-03 10:40:00+05:30,39224.38,2022-02-03 11:15:00+05:30,39208.46,EARLY_EXIT,30,-15.93,-477.9,20.0,588.13,43.06,2.35,23.53,11.35,688.42,-1166.32,198187.9,197021.58,0.0,False,-2978.42
2022-02-04,BANKNIFTY,SHORT,2022-02-04 14:25:00+05:30,38851.35,2022-02-04 15:05:00+05:30,38825.39,EARLY_EXIT,30,25.96,778.8,20.0,582.77,42.64,2.33,23.3,11.28,682.32,96.48,197021.58,197118.06,0.0,False,-2881.94
2022-02-08,BANKNIFTY,SHORT,2022-02-08 13:50:00+05:30,37803.02,2022-02-08 14:55:00+05:30,37869.66,EARLY_EXIT,30,-66.64,-1999.2,20.0,567.05,41.54,2.27,22.72,11.08,664.66,-2663.86,197118.06,194454.2,0.0,False,-5545.8
2022-02-10,BANKNIFTY,LONG,2022-02-10 10:05:00+05:30,38595.25,2022-02-10 10:08:00+05:30,38817.55,TP,30,222.3,6669.0,20.0,582.26,42.5,2.32,23.16,11.25,681.49,5987.51,194454.2,200441.71,0.0,False,441.71
2022-03-11,BANKNIFTY,LONG,2022-03-11 11:05:00+05:30,34519.84,2022-03-11 12:50:00+05:30,34581.95,EARLY_EXIT,30,62.11,1863.3,20.0,518.73,37.94,2.07,20.71,10.43,609.88,1253.42,200441.71,201695.13,0.0,False,1695.13
2022-03-25,BANKNIFTY,SHORT,2022-03-25 13:35:00+05:30,35437.43,2022-03-25 13:48:00+05:30,35299.07,TP,30,138.36,4150.8,20.0,531.56,38.83,2.12,21.18,10.59,624.29,3526.51,201695.13,205221.64,0.0,False,5221.64
2022-03-29,BANKNIFTY,SHORT,2022-03-29 11:30:00+05:30,35798.97,2022-03-29 12:25:00+05:30,35779.32,EARLY_EXIT,30,19.66,589.8,20.0,536.98,39.3,2.15,21.47,10.67,630.57,-40.77,205221.64,205180.87,0.0,False,5180.87
2022-04-12,BANKNIFTY,SHORT,2022-04-12 12:25:00+05:30,37474.21,2022-04-12 12:40:00+05:30,37489.85,EARLY_EXIT,30,-15.64,-469.2,20.0,562.11,41.16,2.25,22.49,11.01,659.02,-1128.22,205180.87,204052.65,0.0,False,4052.65
2022-04-12,BANKNIFTY,SHORT,2022-04-12 13:05:00+05:30,37524.6,2022-04-12 13:45:00+05:30,37362.37,TP,30,162.23,4867.0,20.0,562.87,41.11,2.25,22.42,11.0,659.65,4207.35,204052.65,208260.0,0.0,False,8260.0
