date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here,realized_net_to_date
2022-01-04,NIFTY,LONG,2022-01-04 13:50:00+05:30,17688.35,2022-01-04 14:19:00+05:30,17736.57,TP,65,48.22,3134.25,20.0,576.44,42.14,2.3,22.99,11.18,675.06,2459.19,200000.0,202459.19,0.0,False,2459.19
2022-01-05,NIFTY,SHORT,2022-01-05 09:30:00+05:30,17786.67,2022-01-05 09:40:00+05:30,17773.81,EARLY_EXIT,65,12.87,836.23,20.0,578.07,42.3,2.31,23.11,11.21,677.0,159.23,202459.19,202618.41,0.0,False,2618.42
2022-01-11,NIFTY,LONG,2022-01-11 10:20:00+05:30,17983.5,2022-01-11 10:38:00+05:30,18039.3,TP,65,55.8,3627.0,20.0,586.28,42.85,2.34,23.38,11.31,686.16,2940.84,202618.41,205559.25,0.0,False,5559.26
2022-01-13,NIFTY,LONG,2022-01-13 10:45:00+05:30,18197.95,2022-01-13 12:35:00+05:30,18225.7,EARLY_EXIT,65,27.75,1803.75,20.0,592.34,43.33,2.37,23.66,11.4,693.08,1110.67,205559.25,206669.92,0.0,False,6669.93
2022-01-17,NIFTY,LONG,2022-01-17 13:50:00+05:30,18284.95,2022-01-17 15:14:00+05:30,18304.65,PRE_CLOSE_FLATTEN,65,19.7,1280.5,20.0,594.9,43.52,2.38,23.77,11.43,696.01,584.49,206669.92,207254.41,0.0,False,7254.42
2022-01-18,NIFTY,SHORT,2022-01-18 09:30:00+05:30,18332.99,2022-01-18 09:38:00+05:30,18288.35,TP,65,44.64,2901.64,20.0,595.82,43.56,2.38,23.77,11.44,696.98,2204.66,207254.41,209459.07,0.0,False,9459.08
2022-01-25,NIFTY,SHORT,2022-01-25 10:10:00+05:30,17064.79,2022-01-25 11:25:00+05:30,17100.13,EARLY_EXIT,65,-35.34,-2297.42,20.0,554.61,40.64,2.22,22.23,10.92,650.61,-2948.03,209459.07,206511.04,0.0,False,6511.05
2022-01-25,NIFTY,SHORT,2022-01-25 11:55:00+05:30,17075.73,2022-01-25 12:32:00+05:30,17115.02,SL,65,-39.29,-2553.79,20.0,554.96,40.67,2.22,22.25,10.92,651.02,-3204.81,206511.04,203306.23,0.0,False,3306.24
2022-02-08,NIFTY,LONG,2022-02-08 13:30:00+05:30,17162.28,2022-02-08 14:10:00+05:30,17186.55,EARLY_EXIT,65,24.27,1577.55,20.0,558.56,40.86,2.23,22.31,10.95,654.92,922.63,203306.23,204228.86,0.0,False,4228.87
2022-02-10,NIFTY,LONG,2022-02-10 10:05:00+05:30,17453.75,2022-02-10 10:25:00+05:30,17533.4,TP,65,79.65,5177.25,20.0,569.84,41.62,2.27,22.69,11.09,667.51,4509.74,204228.86,208738.6,0.0,False,8738.61
2022-02-16,NIFTY,LONG,2022-02-16 11:15:00+05:30,17297.95,2022-02-16 11:35:00+05:30,17299.48,EARLY_EXIT,65,1.53,99.45,20.0,562.23,41.15,2.25,22.49,11.01,659.13,-559.68,208738.6,208178.92,0.0,False,8178.93
2022-02-16,NIFTY,LONG,2022-02-16 11:45:00+05:30,17314.5,2022-02-16 12:34:00+05:30,17397.53,TP,65,83.03,5396.68,20.0,565.42,41.29,2.26,22.51,11.03,662.51,4734.17,208178.92,212913.08,0.0,False,12913.1
2022-03-21,NIFTY,SHORT,2022-03-21 09:30:00+05:30,17316.98,2022-03-21 10:03:00+05:30,17228.9,TP,65,88.08,5725.15,20.0,562.8,41.09,2.25,22.4,11.0,659.53,5065.62,212913.08,217978.7,0.0,False,17978.72
2022-03-22,NIFTY,SHORT,2022-03-22 11:35:00+05:30,17052.49,2022-03-22 12:40:00+05:30,17074.3,SL,65,-21.81,-1417.45,20.0,554.21,40.59,2.22,22.2,10.91,650.12,-2067.57,217978.7,215911.13,0.0,False,15911.15
2022-04-05,NIFTY,SHORT,2022-04-05 09:30:00+05:30,18062.65,2022-04-05 09:44:00+05:30,17990.2,TP,65,72.45,4709.25,20.0,587.04,42.88,2.34,23.39,11.32,686.97,4022.28,215911.13,219933.41,0.0,False,19933.43
2022-04-05,NIFTY,SHORT,2022-04-05 11:15:00+05:30,18009.9,2022-04-05 12:10:00+05:30,18016.3,EARLY_EXIT,65,-6.4,-416.0,20.0,585.32,42.85,2.34,23.42,11.31,685.25,-1101.25,219933.41,218832.16,0.0,False,18832.18
2022-04-08,NIFTY,SHORT,2022-04-08 11:05:00+05:30,17662.05,2022-04-08 11:55:00+05:30,17668.8,EARLY_EXIT,65,-6.75,-438.75,20.0,574.02,42.03,2.3,22.97,11.16,672.47,-1111.22,218832.16,217720.94,0.0,False,17720.96
2022-04-13,NIFTY,SHORT,2022-04-13 14:55:00+05:30,17510.7,2022-04-13 15:14:00+05:30,17471.0,PRE_CLOSE_FLATTEN,65,39.7,2580.5,20.0,569.1,41.61,2.27,22.71,11.09,666.78,1913.72,217720.94,219634.66,0.0,False,19634.68
2022-04-19,NIFTY,SHORT,2022-04-19 09:30:00+05:30,17209.5,2022-04-19 10:00:00+05:30,17188.45,EARLY_EXIT,65,21.05,1368.25,20.0,559.31,40.92,2.24,22.34,10.96,655.77,712.48,219634.66,220347.14,0.0,False,20347.16
